cluster;pedidos;pct_base;dist_km_mediana;peso_kg_mediana;valor_mediano;itens_mediana;lead_mediano;vs_prazo_mediano;frete_mediano;frete_sobre_valor;frete_por_km;atraso_pct;flags_media
4;16814;17.52;35.87;0.4;52.9;1.0;4.98;-8.99;9.26;0.186;0.273;4.83;0.08
2;16959;17.67;434.16;6.25;176.99;1.0;11.02;-12.43;25.76;0.154;0.063;4.68;0.05
3;8563;8.92;441.74;0.7;135.0;2.0;9.97;-12.99;34.52;0.272;0.086;4.97;0.75
0;45527;47.44;521.69;0.48;65.0;1.0;10.91;-13.23;16.35;0.265;0.031;2.09;0.05
1;8106;8.45;877.31;0.7;99.0;1.0;30.15;2.67;19.83;0.233;0.024;59.14;0.04
