uf;grafia_original;chave_normalizada;cidade_canonica;linhas;regra_aplicada;mudanca
AC;acrelandia;acrelandia;Acrelândia;6;nenhuma;formatacao
AC;acrelândia;acrelandia;Acrelândia;2;acento;formatacao
AC;assis brasil;assis brasil;Assis Brasil;13;nenhuma;formatacao
AC;brasileia;brasileia;Brasiléia;9;nenhuma;formatacao
AC;brasiléia;brasileia;Brasiléia;5;acento;formatacao
AC;bujari;bujari;Bujari;8;nenhuma;formatacao
AC;campinas;campinas;Campinas;1;nenhuma;formatacao
AC;capixaba;capixaba;Capixaba;1;nenhuma;formatacao
AC;cruzeiro do sul;cruzeiro do sul;Cruzeiro do Sul;110;nenhuma;formatacao
AC;epitaciolandia;epitaciolandia;Epitaciolândia;7;nenhuma;formatacao
AC;epitaciolândia;epitaciolandia;Epitaciolândia;6;acento;formatacao
AC;feijo;feijo;Feijó;28;nenhuma;formatacao
AC;feijó;feijo;Feijó;8;acento;formatacao
AC;jordão;jordao;Jordão;2;acento;formatacao
AC;jordao;jordao;Jordão;2;nenhuma;formatacao
AC;manoel urbano;manoel urbano;Manoel Urbano;8;nenhuma;formatacao
AC;marechal thaumaturgo;marechal thaumaturgo;Marechal Thaumaturgo;3;nenhuma;formatacao
AC;mancio lima;mancio lima;Mâncio Lima;5;nenhuma;formatacao
AC;mâncio lima;mancio lima;Mâncio Lima;2;acento;formatacao
AC;placido de castro;placido de castro;Plácido de Castro;11;nenhuma;formatacao
AC;plácido de castro;placido de castro;Plácido de Castro;5;acento;formatacao
AC;porto acre;porto acre;Porto Acre;5;nenhuma;formatacao
AC;porto walter;porto walter;Porto Walter;4;nenhuma;formatacao
AC;rio bracnco;rio bracnco;Rio Bracnco;1;nenhuma;formatacao
AC;rio branco;rio branco;Rio Branco;1021;nenhuma;formatacao
AC;rio de janeiro;rio de janeiro;Rio de Janeiro;2;nenhuma;formatacao
AC;rodrigues alves;rodrigues alves;Rodrigues Alves;4;nenhuma;formatacao
AC;santa rosa do purus;santa rosa do purus;Santa Rosa do Purus;7;nenhuma;formatacao
AC;sao paulo;sao paulo;Sao Paulo;1;nenhuma;formatacao
AC;sena madureira;sena madureira;Sena Madureira;26;nenhuma;formatacao
AC;senador guiomard;senador guiomard;Senador Guiomard;17;nenhuma;formatacao
AC;tarauaca;tarauaca;Tarauacá;20;nenhuma;formatacao
AC;tarauacá;tarauaca;Tarauacá;16;acento;formatacao
AC;xapuri;xapuri;Xapuri;17;nenhuma;formatacao
AL;agua branca;agua branca;Agua Branca;10;nenhuma;formatacao
AL;anadia;anadia;Anadia;6;nenhuma;formatacao
AL;arapiraca;arapiraca;Arapiraca;315;nenhuma;formatacao
AL;atalaia;atalaia;Atalaia;7;nenhuma;formatacao
AL;barra de santo antonio;barra de santo antonio;Barra de Santo Antônio;12;nenhuma;formatacao
AL;barra de santo antônio;barra de santo antonio;Barra de Santo Antônio;1;acento;formatacao
AL;barra de  santo antônio;barra de santo antonio;Barra de Santo Antônio;1;espacos|acento;formatacao
AL;barra de sao miguel;barra de sao miguel;Barra de São Miguel;13;nenhuma;formatacao
AL;barra de são miguel;barra de sao miguel;Barra de São Miguel;2;acento;formatacao
AL;batalha;batalha;Batalha;18;nenhuma;formatacao
AL;belem;belem;Belem;6;nenhuma;formatacao
AL;boca da mata;boca da mata;Boca da Mata;21;nenhuma;formatacao
AL;branquinha;branquinha;Branquinha;6;nenhuma;formatacao
AL;cacimbinhas;cacimbinhas;Cacimbinhas;11;nenhuma;formatacao
AL;cajueiro;cajueiro;Cajueiro;17;nenhuma;formatacao
AL;campestre;campestre;Campestre;12;nenhuma;formatacao
AL;campo alegre;campo alegre;Campo Alegre;26;nenhuma;formatacao
AL;campo grande;campo grande;Campo Grande;3;nenhuma;formatacao
AL;canapi;canapi;Canapi;5;nenhuma;formatacao
AL;capela;capela;Capela;14;nenhuma;formatacao
AL;carneiros;carneiros;Carneiros;4;nenhuma;formatacao
AL;cha preta;cha preta;Chã Preta;10;nenhuma;formatacao
AL;chã preta;cha preta;Chã Preta;3;acento;formatacao
AL;coite do noia;coite do noia;Coite do Noia;6;nenhuma;formatacao
AL;colonia leopoldina;colonia leopoldina;Colônia Leopoldina;12;nenhuma;formatacao
AL;colônia leopoldina;colonia leopoldina;Colônia Leopoldina;4;acento;formatacao
AL;coqueiro seco;coqueiro seco;Coqueiro Seco;1;nenhuma;formatacao
AL;coruripe;coruripe;Coruripe;49;nenhuma;formatacao
AL;craibas;craibas;Craibas;9;nenhuma;formatacao
AL;delmiro gouveia;delmiro gouveia;Delmiro Gouveia;62;nenhuma;formatacao
AL;dois riachos;dois riachos;Dois Riachos;7;nenhuma;formatacao
AL;estrela de alagoas;estrela de alagoas;Estrela de Alagoas;3;nenhuma;formatacao
AL;feira grande;feira grande;Feira Grande;7;nenhuma;formatacao
AL;feliz deserto;feliz deserto;Feliz Deserto;9;nenhuma;formatacao
AL;flexeiras;flexeiras;Flexeiras;3;nenhuma;formatacao
AL;girau do ponciano;girau do ponciano;Girau do Ponciano;10;nenhuma;formatacao
AL;ibateguara;ibateguara;Ibateguara;12;nenhuma;formatacao
AL;igaci;igaci;Igaci;11;nenhuma;formatacao
AL;igreja nova;igreja nova;Igreja Nova;17;nenhuma;formatacao
AL;inhapi;inhapi;Inhapi;14;nenhuma;formatacao
AL;jacare dos homens;jacare dos homens;Jacare dos Homens;3;nenhuma;formatacao
AL;jacuipe;jacuipe;Jacuípe;4;nenhuma;formatacao
AL;jacuípe;jacuipe;Jacuípe;1;acento;formatacao
AL;japaratinga;japaratinga;Japaratinga;9;nenhuma;formatacao
AL;jaramataia;jaramataia;Jaramataia;3;nenhuma;formatacao
AL;jequia da praia;jequia da praia;Jequia da Praia;7;nenhuma;formatacao
AL;joaquim gomes;joaquim gomes;Joaquim Gomes;11;nenhuma;formatacao
AL;jundia;jundia;Jundia;2;nenhuma;formatacao
AL;junqueiro;junqueiro;Junqueiro;4;nenhuma;formatacao
AL;lagoa da canoa;lagoa da canoa;Lagoa da Canoa;6;nenhuma;formatacao
AL;limoeiro de anadia;limoeiro de anadia;Limoeiro de Anadia;3;nenhuma;formatacao
AL;luziapolis;luziapolis;Luziapolis;2;nenhuma;formatacao
AL;maceia³;maceia3;Maceia³;1;acento;formatacao
AL;maceio;maceio;Maceió;2300;nenhuma;formatacao
AL;maceió;maceio;Maceió;315;acento;formatacao
AL;major isidoro;major isidoro;Major Isidoro;5;nenhuma;formatacao
AL;mar vermelho;mar vermelho;Mar Vermelho;3;nenhuma;formatacao
AL;maragogi;maragogi;Maragogi;42;nenhuma;formatacao
AL;maravilha;maravilha;Maravilha;11;nenhuma;formatacao
AL;marechal deodoro;marechal deodoro;Marechal Deodoro;36;nenhuma;formatacao
AL;maribondo;maribondo;Maribondo;13;nenhuma;formatacao
AL;mata grande;mata grande;Mata Grande;30;nenhuma;formatacao
AL;matriz de camaragibe;matriz de camaragibe;Matriz de Camaragibe;23;nenhuma;formatacao
AL;messias;messias;Messias;4;nenhuma;formatacao
AL;monteiropolis;monteiropolis;Monteiropolis;4;nenhuma;formatacao
AL;murici;murici;Murici;15;nenhuma;formatacao
AL;novo lino;novo lino;Novo Lino;15;nenhuma;formatacao
AL;olho d'agua grande;olho d agua grande;Olho D'agua Grande;2;nenhuma;formatacao
AL;olho d'agua das flores;olho d agua das flores;Olho D'água das Flores;18;nenhuma;formatacao
AL;olho d'água das flores;olho d agua das flores;Olho D'água das Flores;7;acento;formatacao
AL;olho d agua das flores;olho d agua das flores;Olho D'água das Flores;4;nenhuma;formatacao
AL;olho d'água do casado;olho d agua do casado;Olho D'água do Casado;2;acento;formatacao
AL;olho dágua grande;olho dagua grande;Olho Dágua Grande;1;acento;formatacao
AL;olivenca;olivenca;Olivenca;5;nenhuma;formatacao
AL;ouro branco;ouro branco;Ouro Branco;12;nenhuma;formatacao
AL;palestina;palestina;Palestina;4;nenhuma;formatacao
AL;palmeira dos indios;palmeira dos indios;Palmeira dos Índios;88;nenhuma;formatacao
AL;palmeira dos índios;palmeira dos indios;Palmeira dos Índios;21;acento;formatacao
AL;pariconha;pariconha;Pariconha;8;nenhuma;formatacao
AL;paripueira;paripueira;Paripueira;10;nenhuma;formatacao
AL;passo de camaragibe;passo de camaragibe;Passo de Camaragibe;13;nenhuma;formatacao
AL;pau d'arco;pau d arco;Pau D'arco;2;nenhuma;formatacao
AL;paulo jacinto;paulo jacinto;Paulo Jacinto;9;nenhuma;formatacao
AL;penedo;penedo;Penedo;100;nenhuma;formatacao
AL;piacabucu;piacabucu;Piaçabuçu;15;nenhuma;formatacao
AL;piaçabuçu;piacabucu;Piaçabuçu;3;acento;formatacao
AL;pilar;pilar;Pilar;37;nenhuma;formatacao
AL;pindoba;pindoba;Pindoba;6;nenhuma;formatacao
AL;piranhas;piranhas;Piranhas;35;nenhuma;formatacao
AL;porto calvo;porto calvo;Porto Calvo;32;nenhuma;formatacao
AL;porto real do colegio;porto real do colegio;Porto Real do Colegio;8;nenhuma;formatacao
AL;porto de pedras;porto de pedras;Porto de Pedras;10;nenhuma;formatacao
AL;poxim;poxim;Poxim;1;nenhuma;formatacao
AL;poco das trincheiras;poco das trincheiras;Poço das Trincheiras;4;nenhuma;formatacao
AL;poço das trincheiras;poco das trincheiras;Poço das Trincheiras;1;acento;formatacao
AL;pao de acucar;pao de acucar;Pão de Açúcar;18;nenhuma;formatacao
AL;pão de açúcar;pao de acucar;Pão de Açúcar;4;acento;formatacao
AL;quebrangulo;quebrangulo;Quebrangulo;1;nenhuma;formatacao
AL;rio largo;rio largo;Rio Largo;70;nenhuma;formatacao
AL;roteiro;roteiro;Roteiro;4;nenhuma;formatacao
AL;santa luzia do norte;santa luzia do norte;Santa Luzia do Norte;8;nenhuma;formatacao
AL;santana do ipanema;santana do ipanema;Santana do Ipanema;42;nenhuma;formatacao
AL;santana do mundau;santana do mundau;Santana do Mundaú;12;nenhuma;formatacao
AL;santana do mundaú;santana do mundau;Santana do Mundaú;2;acento;formatacao
AL;satuba;satuba;Satuba;11;nenhuma;formatacao
AL;senador rui palmeira;senador rui palmeira;Senador Rui Palmeira;6;nenhuma;formatacao
AL;sao bras;sao bras;São Brás;2;nenhuma;formatacao
AL;são brás;sao bras;São Brás;1;acento;formatacao
AL;sao jose da laje;sao jose da laje;São José da Laje;22;nenhuma;formatacao
AL;são josé da laje;sao jose da laje;São José da Laje;8;acento;formatacao
AL;sao jose da tapera;sao jose da tapera;São José da Tapera;20;nenhuma;formatacao
AL;são josé da tapera;sao jose da tapera;São José da Tapera;1;acento;formatacao
AL;sao luis do quitunde;sao luis do quitunde;São Luís do Quitunde;18;nenhuma;formatacao
AL;são luís do quitunde;sao luis do quitunde;São Luís do Quitunde;8;acento;formatacao
AL;sao miguel dos campos;sao miguel dos campos;São Miguel dos Campos;52;nenhuma;formatacao
AL;são miguel dos campos;sao miguel dos campos;São Miguel dos Campos;10;acento;formatacao
AL;sao miguel dos milagres;sao miguel dos milagres;São Miguel dos Milagres;4;nenhuma;formatacao
AL;são miguel dos milagres;sao miguel dos milagres;São Miguel dos Milagres;1;acento;formatacao
AL;sao sebastiao;sao sebastiao;São Sebastião;11;nenhuma;formatacao
AL;são sebastião;sao sebastiao;São Sebastião;1;acento;formatacao
AL;tanque d'arca;tanque d arca;Tanque D'arca;7;nenhuma;formatacao
AL;taquarana;taquarana;Taquarana;6;nenhuma;formatacao
AL;teotonio vilela;teotonio vilela;Teotônio Vilela;41;nenhuma;formatacao
AL;teotônio vilela;teotonio vilela;Teotônio Vilela;12;acento;formatacao
AL;traipu;traipu;Traipu;7;nenhuma;formatacao
AL;uniao dos palmares;uniao dos palmares;União dos Palmares;47;nenhuma;formatacao
AL;união dos palmares;uniao dos palmares;União dos Palmares;15;acento;formatacao
AL;vila sao francisco;vila sao francisco;Vila Sao Francisco;2;nenhuma;formatacao
AL;vicosa;vicosa;Viçosa;30;nenhuma;formatacao
AL;viçosa;vicosa;Viçosa;3;acento;formatacao
AM;alvaraes;alvaraes;Alvaraes;1;nenhuma;formatacao
AM;amatura;amatura;Amaturá;2;nenhuma;formatacao
AM;amaturá;amatura;Amaturá;1;acento;formatacao
AM;anama;anama;Anama;1;nenhuma;formatacao
AM;anori;anori;Anori;4;nenhuma;formatacao
AM;apui;apui;Apuí;7;nenhuma;formatacao
AM;apuí;apui;Apuí;6;acento;formatacao
AM;atalaia do norte;atalaia do norte;Atalaia do Norte;4;nenhuma;formatacao
AM;autazes;autazes;Autazes;7;nenhuma;formatacao
AM;barcelos;barcelos;Barcelos;4;nenhuma;formatacao
AM;benjamin constant;benjamin constant;Benjamin Constant;9;nenhuma;formatacao
AM;boa vista do ramos;boa vista do ramos;Boa Vista do Ramos;3;nenhuma;formatacao
AM;boca do acre;boca do acre;Boca do Acre;19;nenhuma;formatacao
AM;borba;borba;Borba;3;nenhuma;formatacao
AM;caapiranga;caapiranga;Caapiranga;2;nenhuma;formatacao
AM;canutama;canutama;Canutama;1;nenhuma;formatacao
AM;carauari;carauari;Carauari;20;nenhuma;formatacao
AM;careiro;careiro;Careiro;8;nenhuma;formatacao
AM;careiro da varzea;careiro da varzea;Careiro da Varzea;1;nenhuma;formatacao
AM;coari;coari;Coari;22;nenhuma;formatacao
AM;codajas;codajas;Codajás;3;nenhuma;formatacao
AM;codajás;codajas;Codajás;2;acento;formatacao
AM;eirunepé;eirunepe;Eirunepé;3;acento;formatacao
AM;eirunepe;eirunepe;Eirunepé;1;nenhuma;formatacao
AM;envira;envira;Envira;2;nenhuma;formatacao
AM;fonte boa;fonte boa;Fonte Boa;4;nenhuma;formatacao
AM;freguesia do andira;freguesia do andira;Freguesia do Andira;1;nenhuma;formatacao
AM;guajara;guajara;Guajará;3;nenhuma;formatacao
AM;guajará;guajara;Guajará;2;acento;formatacao
AM;humaita;humaita;Humaitá;50;nenhuma;formatacao
AM;humaitá;humaita;Humaitá;10;acento;formatacao
AM;iauarete;iauarete;Iauarete;1;nenhuma;formatacao
AM;ipixuna;ipixuna;Ipixuna;6;nenhuma;formatacao
AM;iranduba;iranduba;Iranduba;6;nenhuma;formatacao
AM;itacoatiara;itacoatiara;Itacoatiara;25;nenhuma;formatacao
AM;itamarati;itamarati;Itamarati;2;nenhuma;formatacao
AM;itapiranga;itapiranga;Itapiranga;1;nenhuma;formatacao
AM;japura;japura;Japura;1;nenhuma;formatacao
AM;jurua;jurua;Jurua;2;nenhuma;formatacao
AM;jutai;jutai;Jutai;2;nenhuma;formatacao
AM;labrea;labrea;Lábrea;7;nenhuma;formatacao
AM;lábrea;labrea;Lábrea;5;acento;formatacao
AM;manacapuru;manacapuru;Manacapuru;20;nenhuma;formatacao
AM;manaquiri;manaquiri;Manaquiri;2;nenhuma;formatacao
AM;manaus;manaus;Manaus;2114;nenhuma;formatacao
AM;manicore;manicore;Manicoré;2;nenhuma;formatacao
AM;manicoré;manicore;Manicoré;1;acento;formatacao
AM;maraã;maraa;Maraã;1;acento;formatacao
AM;maraa;maraa;Maraã;1;nenhuma;formatacao
AM;maues;maues;Maués;11;nenhuma;formatacao
AM;maués;maues;Maués;3;acento;formatacao
AM;nhamunda;nhamunda;Nhamunda;1;nenhuma;formatacao
AM;nova olinda do norte;nova olinda do norte;Nova Olinda do Norte;7;nenhuma;formatacao
AM;novo airão;novo airao;Novo Airão;1;acento;formatacao
AM;novo airao;novo airao;Novo Airão;1;nenhuma;formatacao
AM;novo aripuanã;novo aripuana;Novo Aripuanã;2;acento;formatacao
AM;novo aripuana;novo aripuana;Novo Aripuanã;1;nenhuma;formatacao
AM;parintins;parintins;Parintins;42;nenhuma;formatacao
AM;pauini;pauini;Pauini;10;nenhuma;formatacao
AM;presidente figueiredo;presidente figueiredo;Presidente Figueiredo;16;nenhuma;formatacao
AM;rio preto da eva;rio preto da eva;Rio Preto da Eva;5;nenhuma;formatacao
AM;sao gabriel da cachoeira;sao gabriel da cachoeira;Sao Gabriel da Cachoeira;11;nenhuma;formatacao
AM;sao sebastiao do uatuma;sao sebastiao do uatuma;Sao Sebastiao do Uatuma;1;nenhuma;formatacao
AM;silves;silves;Silves;1;nenhuma;formatacao
AM;são paulo de olivença;sao paulo de olivenca;São Paulo de Olivença;1;acento;formatacao
AM;sao paulo de olivenca;sao paulo de olivenca;São Paulo de Olivença;1;nenhuma;formatacao
AM;tabatinga;tabatinga;Tabatinga;14;nenhuma;formatacao
AM;tapauá;tapaua;Tapauá;3;acento;formatacao
AM;tapaua;tapaua;Tapauá;1;nenhuma;formatacao
AM;tefe;tefe;Tefé;29;nenhuma;formatacao
AM;tefé;tefe;Tefé;3;acento;formatacao
AM;tonantins;tonantins;Tonantins;2;nenhuma;formatacao
AM;urucará;urucara;Urucará;2;acento;formatacao
AM;urucurituba;urucurituba;Urucurituba;7;nenhuma;formatacao
AP;amapa;amapa;Amapa;2;nenhuma;formatacao
AP;amapari;amapari;Amapari;1;nenhuma;formatacao
AP;calcoene;calcoene;Calcoene;2;nenhuma;formatacao
AP;clevelandia do norte;clevelandia do norte;Clevelândia do Norte;2;nenhuma;formatacao
AP;clevelândia do norte;clevelandia do norte;Clevelândia do Norte;1;acento;formatacao
AP;ferreira gomes;ferreira gomes;Ferreira Gomes;6;nenhuma;formatacao
AP;laranjal do jari;laranjal do jari;Laranjal do Jari;57;nenhuma;formatacao
AP;macapa;macapa;Macapá;579;nenhuma;formatacao
AP;macapá;macapa;Macapá;117;acento;formatacao
AP;mazagao;mazagao;Mazagao;2;nenhuma;formatacao
AP;oiapoque;oiapoque;Oiapoque;28;nenhuma;formatacao
AP;pedra branca do amapari;pedra branca do amapari;Pedra Branca do Amapari;4;nenhuma;formatacao
AP;porto grande;porto grande;Porto Grande;9;nenhuma;formatacao
AP;santana;santana;Santana;96;nenhuma;formatacao
AP;serra do navio;serra do navio;Serra do Navio;8;nenhuma;formatacao
AP;vitoria do jari;vitoria do jari;Vitória do Jari;6;nenhuma;formatacao
AP;vitória do jari;vitoria do jari;Vitória do Jari;1;acento;formatacao
BA;abare;abare;Abaré;21;nenhuma;formatacao
BA;abaré;abare;Abaré;4;acento;formatacao
BA;abaira;abaira;Abaíra;11;nenhuma;formatacao
BA;abaíra;abaira;Abaíra;4;acento;formatacao
BA;abrantes;abrantes;Abrantes;47;nenhuma;formatacao
BA;acajutiba;acajutiba;Acajutiba;30;nenhuma;formatacao
BA;acupe;acupe;Acupe;1;nenhuma;formatacao
BA;adustina;adustina;Adustina;26;nenhuma;formatacao
BA;aiquara;aiquara;Aiquara;9;nenhuma;formatacao
BA;alagoinhas;alagoinhas;Alagoinhas;459;nenhuma;formatacao
BA;alcobaca;alcobaca;Alcobaça;34;nenhuma;formatacao
BA;alcobaça;alcobaca;Alcobaça;4;acento;formatacao
BA;algodões;algodoes;Algodões;1;acento;formatacao
BA;almadina;almadina;Almadina;23;nenhuma;formatacao
BA;amargosa;amargosa;Amargosa;83;nenhuma;formatacao
BA;america dourada;america dourada;America Dourada;11;nenhuma;formatacao
BA;amelia rodrigues;amelia rodrigues;Amélia Rodrigues;35;nenhuma;formatacao
BA;amélia rodrigues;amelia rodrigues;Amélia Rodrigues;8;acento;formatacao
BA;anage;anage;Anagé;10;nenhuma;formatacao
BA;anagé;anage;Anagé;1;acento;formatacao
BA;andarai;andarai;Andaraí;16;nenhuma;formatacao
BA;andaraí;andarai;Andaraí;6;acento;formatacao
BA;andorinha;andorinha;Andorinha;36;nenhuma;formatacao
BA;angical;angical;Angical;8;nenhuma;formatacao
BA;anguera;anguera;Anguera;8;nenhuma;formatacao
BA;antas;antas;Antas;31;nenhuma;formatacao
BA;antonio cardoso;antonio cardoso;Antônio Cardoso;8;nenhuma;formatacao
BA;antônio cardoso;antonio cardoso;Antônio Cardoso;2;acento;formatacao
BA;antonio goncalves;antonio goncalves;Antônio Gonçalves;18;nenhuma;formatacao
BA;antônio gonçalves;antonio goncalves;Antônio Gonçalves;1;acento;formatacao
BA;apora;apora;Aporá;19;nenhuma;formatacao
BA;aporá;apora;Aporá;3;acento;formatacao
BA;apuarema;apuarema;Apuarema;12;nenhuma;formatacao
BA;aracatu;aracatu;Aracatu;11;nenhuma;formatacao
BA;araci;araci;Araci;69;nenhuma;formatacao
BA;aramari;aramari;Aramari;15;nenhuma;formatacao
BA;arataca;arataca;Arataca;17;nenhuma;formatacao
BA;aratuipe;aratuipe;Aratuípe;7;nenhuma;formatacao
BA;aratuípe;aratuipe;Aratuípe;3;acento;formatacao
BA;aracas;aracas;Araçás;6;nenhuma;formatacao
BA;araçás;aracas;Araçás;1;acento;formatacao
BA;arembepe;arembepe;Arembepe;3;nenhuma;formatacao
BA;aribice;aribice;Aribice;1;nenhuma;formatacao
BA;arraial d'ajuda;arraial d ajuda;Arraial D'ajuda;79;nenhuma;formatacao
BA;arraial d ajuda;arraial d ajuda;Arraial D'ajuda;6;nenhuma;formatacao
BA;arraial d'ajuda (porto seguro);arraial d ajuda (porto seguro);Arraial D'ajuda (porto Seguro);1;nenhuma;formatacao
BA;aurelino leal;aurelino leal;Aurelino Leal;8;nenhuma;formatacao
BA;açu da torre;acu da torre;Açu da Torre;1;acento;formatacao
BA;bahia;bahia;Bahia;1;nenhuma;formatacao
BA;baianopolis;baianopolis;Baianopolis;8;nenhuma;formatacao
BA;baixa grande;baixa grande;Baixa Grande;27;nenhuma;formatacao
BA;banzae;banzae;Banzaê;12;nenhuma;formatacao
BA;banzaê;banzae;Banzaê;4;acento;formatacao
BA;barra;barra;Barra;77;nenhuma;formatacao
BA;barra da estiva;barra da estiva;Barra da Estiva;59;nenhuma;formatacao
BA;barra do choca;barra do choca;Barra do Choça;43;nenhuma;formatacao
BA;barra do choça;barra do choca;Barra do Choça;12;acento;formatacao
BA;barra do jacuipe;barra do jacuipe;Barra do Jacuipe;3;nenhuma;formatacao
BA;barra do mendes;barra do mendes;Barra do Mendes;22;nenhuma;formatacao
BA;barra do rocha;barra do rocha;Barra do Rocha;5;nenhuma;formatacao
BA;barra do tarrachil;barra do tarrachil;Barra do Tarrachil;4;nenhuma;formatacao
BA;barreiras;barreiras;Barreiras;538;nenhuma;formatacao
BA;barro alto;barro alto;Barro Alto;14;nenhuma;formatacao
BA;barro preto;barro preto;Barro Preto;5;nenhuma;formatacao
BA;barrocas;barrocas;Barrocas;18;nenhuma;formatacao
BA;batinga;batinga;Batinga;1;nenhuma;formatacao
BA;belmonte;belmonte;Belmonte;52;nenhuma;formatacao
BA;belo campo;belo campo;Belo Campo;26;nenhuma;formatacao
BA;biritinga;biritinga;Biritinga;17;nenhuma;formatacao
BA;boa nova;boa nova;Boa Nova;19;nenhuma;formatacao
BA;boa uniao;boa uniao;Boa Uniao;1;nenhuma;formatacao
BA;boa vista do tupim;boa vista do tupim;Boa Vista do Tupim;20;nenhuma;formatacao
BA;bom jesus da lapa;bom jesus da lapa;Bom Jesus da Lapa;203;nenhuma;formatacao
BA;bom jesus da serra;bom jesus da serra;Bom Jesus da Serra;10;nenhuma;formatacao
BA;boninal;boninal;Boninal;17;nenhuma;formatacao
BA;bonito;bonito;Bonito;26;nenhuma;formatacao
BA;boquira;boquira;Boquira;21;nenhuma;formatacao
BA;botupora;botupora;Botuporã;25;nenhuma;formatacao
BA;botuporã;botupora;Botuporã;4;acento;formatacao
BA;brejolandia;brejolandia;Brejolândia;5;nenhuma;formatacao
BA;brejolândia;brejolandia;Brejolândia;1;acento;formatacao
BA;brejoes;brejoes;Brejões;8;nenhuma;formatacao
BA;brejões;brejoes;Brejões;3;acento;formatacao
BA;brotas de macaubas;brotas de macaubas;Brotas de Macaúbas;28;nenhuma;formatacao
BA;brotas de macaúbas;brotas de macaubas;Brotas de Macaúbas;6;acento;formatacao
BA;brumado;brumado;Brumado;250;nenhuma;formatacao
BA;buerarema;buerarema;Buerarema;32;nenhuma;formatacao
BA;buritirama;buritirama;Buritirama;36;nenhuma;formatacao
BA;caatiba;caatiba;Caatiba;8;nenhuma;formatacao
BA;cabaceiras do paraguacu;cabaceiras do paraguacu;Cabaceiras do Paraguaçu;9;nenhuma;formatacao
BA;cabaceiras do paraguaçu;cabaceiras do paraguacu;Cabaceiras do Paraguaçu;1;acento;formatacao
BA;cachoeira;cachoeira;Cachoeira;46;nenhuma;formatacao
BA;cacule;cacule;Caculé;47;nenhuma;formatacao
BA;caculé;cacule;Caculé;10;acento;formatacao
BA;caetanos;caetanos;Caetanos;4;nenhuma;formatacao
BA;caetite;caetite;Caetité;90;nenhuma;formatacao
BA;caetité;caetite;Caetité;32;acento;formatacao
BA;cafarnaum;cafarnaum;Cafarnaum;28;nenhuma;formatacao
BA;cairu;cairu;Cairu;7;nenhuma;formatacao
BA;caldas do jorro;caldas do jorro;Caldas do Jorro;1;nenhuma;formatacao
BA;caldeirao grande;caldeirao grande;Caldeirão Grande;5;nenhuma;formatacao
BA;caldeirão grande;caldeirao grande;Caldeirão Grande;1;acento;formatacao
BA;camacan;camacan;Camacan;78;nenhuma;formatacao
BA;camamu;camamu;Camamu;65;nenhuma;formatacao
BA;camacari;camacari;Camaçari;504;nenhuma;formatacao
BA;camaçari;camacari;Camaçari;67;acento;formatacao
BA;campo alegre de lourdes;campo alegre de lourdes;Campo Alegre de Lourdes;18;nenhuma;formatacao
BA;campo alegre de lourdes, bahia, brasil;campo alegre de lourdes, bahia, brasil;Campo Alegre de Lourdes, Bahia, Brasil;1;nenhuma;formatacao
BA;campo formoso;campo formoso;Campo Formoso;112;nenhuma;formatacao
BA;canarana;canarana;Canarana;24;nenhuma;formatacao
BA;canavieiras;canavieiras;Canavieiras;103;nenhuma;formatacao
BA;candeal;candeal;Candeal;11;nenhuma;formatacao
BA;candeias;candeias;Candeias;192;nenhuma;formatacao
BA;candiba;candiba;Candiba;17;nenhuma;formatacao
BA;cansancao;cansancao;Cansanção;51;nenhuma;formatacao
BA;cansanção;cansancao;Cansanção;10;acento;formatacao
BA;canudos;canudos;Canudos;25;nenhuma;formatacao
BA;canapolis;canapolis;Canápolis;7;nenhuma;formatacao
BA;canápolis;canapolis;Canápolis;2;acento;formatacao
BA;capela do alto alegre;capela do alto alegre;Capela do Alto Alegre;33;nenhuma;formatacao
BA;capim grosso;capim grosso;Capim Grosso;90;nenhuma;formatacao
BA;caravelas;caravelas;Caravelas;33;nenhuma;formatacao
BA;caraibas;caraibas;Caraíbas;6;nenhuma;formatacao
BA;caraíbas;caraibas;Caraíbas;2;acento;formatacao
BA;cardeal da silva;cardeal da silva;Cardeal da Silva;17;nenhuma;formatacao
BA;carinhanha;carinhanha;Carinhanha;43;nenhuma;formatacao
BA;carnaiba do sertao;carnaiba do sertao;Carnaiba do Sertao;2;nenhuma;formatacao
BA;casa nova;casa nova;Casa Nova;99;nenhuma;formatacao
BA;castro alves;castro alves;Castro Alves;30;nenhuma;formatacao
BA;catingal;catingal;Catingal;1;nenhuma;formatacao
BA;catolândia;catolandia;Catolândia;1;acento;formatacao
BA;catu;catu;Catu;131;nenhuma;formatacao
BA;catu de abrantes;catu de abrantes;Catu de Abrantes;20;nenhuma;formatacao
BA;caturama;caturama;Caturama;21;nenhuma;formatacao
BA;caém;caem;Caém;5;acento;formatacao
BA;caem;caem;Caém;4;nenhuma;formatacao
BA;central;central;Central;17;nenhuma;formatacao
BA;chorrocho;chorrocho;Chorrochó;17;nenhuma;formatacao
BA;chorrochó;chorrocho;Chorrochó;3;acento;formatacao
BA;cipo;cipo;Cipó;31;nenhuma;formatacao
BA;cipó;cipo;Cipó;6;acento;formatacao
BA;coaraci;coaraci;Coaraci;45;nenhuma;formatacao
BA;cocos;cocos;Cocos;39;nenhuma;formatacao
BA;conceicao da feira;conceicao da feira;Conceição da Feira;31;nenhuma;formatacao
BA;conceição da feira;conceicao da feira;Conceição da Feira;2;acento;formatacao
